pair_id,foodaps_q_id,foodaps_text,acs_q_id,acs_text,subtopic,claude_classification,claude_confidence,claude_reasoning,claude_consolidation_potential,claude_reference_period_a,claude_reference_period_b,gpt_classification,gpt_confidence,gpt_reasoning,gpt_consolidation_potential,gpt_reference_period_a,gpt_reference_period_b,models_agree
P_0074,FAPS_0087,On what date did [you/someone at this address] last receive benefits from SNAP?,ACS_0056,"IN THE PAST 12 MONTHS, did you or any member of this household receive benefits from the Food Stamp Program or SNAP (the Supplemental Nutrition Assistance Program)?",SNAP,reference_period_mismatch,high,"Both questions ask about SNAP receipt, but they measure fundamentally different things. Question A asks when the respondent last received benefits (a point-in-time reference), while Question B asks whether any receipt occurred within the past 12 months (a period prevalence measure). Question A could identify someone who received SNAP years ago, while Question B identifies current or recent users. These cannot be used interchangeably.",no,Last occurrence (no time bound specified),Past 12 months,related_but_distinct,high,"Question A requests the specific date of the most recent SNAP benefit receipt with no explicit time frame, while Question B asks a yes/no about receipt within the past 12 months. They address the same topic but ask different specific information (a point-in-time date vs a binary 12-month indicator) and thus are not equivalent.",no,not specified (asks for the date of last receipt),past 12 months,False
P_0075,FAPS_0088,How many dollars were put on the SNAP EBT card at that time?,ACS_0056,"IN THE PAST 12 MONTHS, did you or any member of this household receive benefits from the Food Stamp Program or SNAP (the Supplemental Nutrition Assistance Program)?",SNAP,related_but_distinct,high,"Both questions address SNAP benefits but measure fundamentally different constructs. Question A asks for a specific dollar amount loaded on an EBT card at a particular moment, requiring respondent recall of a precise monetary value. Question B asks a yes/no screening question about whether any household member received SNAP benefits during the past year. Question A captures transaction-level detail while Question B captures only program participation status, making them complementary rather than equivalent.",no,not specified (appears to reference a specific point in time),past 12 months,related_but_distinct,high,"Question A asks for a dollar amount loaded onto a SNAP EBT card at a specific event/time (a transaction-level measure), while Question B asks a yes/no whether anyone in the household received SNAP benefits in the past 12 months (a binary, household-level receipt indicator). They differ in unit (amount vs binary), level (transaction/individual vs household-level recall), and reference period (a specific 'that time' event vs past 12 months).",no,not specified,past 12 months,True
P_0076,FAPS_0095,List FEMALE HOUSEHOLD MEMBERS BETWEEN ages 14 AND <53,ACS_0022,What is Person 1’s sex?,Sex,not_comparable,high,"These questions address fundamentally different constructs. Question A asks for a roster of household members filtered by specific demographic criteria (female, age 14-52), which is a household composition/listing task. Question B asks for the sex of a single identified person (Person 1), which is a demographic attribute question. Question A is roster-building; Question B is attribute collection for an already-identified individual.",no,not specified,not specified,related_but_distinct,high,"Question A asks for a household roster filtered to FEMALE members aged 14 to under 53 (household-level, age-restricted, and expects listing of persons). Question B asks for the sex of an individual person (Person 1) with no age restriction and a different response format. While both concern sex, A applies an age filter and operates at the household roster level, so they are not equivalent.",yes,not specified,not specified,False
P_0077,FAPS_0095,List FEMALE HOUSEHOLD MEMBERS BETWEEN ages 14 AND <53,ACS_0028,What is Person 2’s sex?,Sex,not_comparable,high,"Question A asks for identification and enumeration of female household members within a specific age range (14-<53), serving a roster-building or demographic filtering function. Question B asks about the sex of a specific person (Person 2), assuming that person has already been identified. These questions operate at different levels: A screens and lists individuals by sex and age criteria, while B simply records the sex attribute of an already-identified individual.",no,not specified,not specified,related_but_distinct,high,Question A requests an enumeration/filter of household members who are female and within a specific age range (14 to <53). Question B asks for the sex of a single identified person (Person 2) with no age restriction. They address the same general topic (sex) but ask different specific things and use different response formats (a list/filter vs a single categorical response).,partial,not specified,not specified,False
P_0078,FAPS_0095,List FEMALE HOUSEHOLD MEMBERS BETWEEN ages 14 AND <53,ACS_0034,What is Person 3’s sex?,Sex,not_comparable,high,"Question A asks for identification and listing of female household members within a specific age range (14-52), making it a roster/screening question that determines which individuals qualify for subsequent survey modules. Question B asks for the sex of a specific person (Person 3) already identified in the household roster, making it a simple demographic attribute question. These serve fundamentally different purposes: one filters and identifies respondents, the other characterizes an already-identified person.",no,not specified,not specified,related_but_distinct,high,"Question A requests a listing of household members who are FEMALE and within a specific age range (14 to <53), effectively combining sex and age-selection and potentially returning multiple people. Question B simply asks for the sex of a single, identified person (Person 3). The age restriction and the list/selection purpose in A make the intent and output different from the individual sex question in B.",partial,not specified,not specified,False
P_0079,FAPS_0105,Do you use most of your benefits from [FILL IN STATE SNAP NAME] at [Fill store from C1 or at Fill store from C3]?,ACS_0056,"IN THE PAST 12 MONTHS, did you or any member of this household receive benefits from the Food Stamp Program or SNAP (the Supplemental Nutrition Assistance Program)?",SNAP,related_but_distinct,high,"Question A asks WHERE benefits are used (store location), while Question B asks WHETHER benefits were received. These are fundamentally different questions—B establishes SNAP participation status, while A assumes participation and collects behavioral/retail data. Question A's reference period is also unclear (appears to be current/recent usage without explicit timeframe), whereas B explicitly specifies 12 months. They address different constructs despite both relating to SNAP.",no,not specified,past 12 months,related_but_distinct,high,"Question A asks about where (which store) most of a respondent's SNAP benefits are used (usage/location) and does not specify a time frame. Question B asks whether anyone in the household received SNAP benefits in the past 12 months (receipt), a different substantive focus and explicit reference period. The questions therefore address related topic matter (SNAP) but ask distinct pieces of information that are not interchangeable.",no,not specified,past 12 months,True
P_0080,FAPS_0106,Where do you do most of your food shopping when using your benefits from [FILL IN STATE SNAP NAME]?,ACS_0056,"IN THE PAST 12 MONTHS, did you or any member of this household receive benefits from the Food Stamp Program or SNAP (the Supplemental Nutrition Assistance Program)?",SNAP,related_but_distinct,high,"Question A asks WHERE individuals shop when using SNAP benefits (location/retailer type), while Question B asks WHETHER they received SNAP benefits at all (receipt/eligibility). These are fundamentally different constructs: one presupposes SNAP use and seeks behavioral/operational details, while the other establishes SNAP receipt status. Question B is a screening/eligibility question, while Question A is a detailed follow-up question conditional on SNAP use.",no,not specified,past 12 months,related_but_distinct,high,"Question A asks where a respondent shops when using SNAP benefits (a behavioral/location question, conditional on benefit use) and does not specify a time frame. Question B asks a household-level yes/no about receipt of SNAP/Food Stamp benefits in the past 12 months. They address different specific constructs, response formats, and units of analysis (shopping location vs benefit receipt).",no,not specified,past 12 months,True
P_0081,FAPS_0116,How much do you usually pay out of pocket for a single one-way trip to [FILL IN PRIMARY STORE NAME FROM C1],ACS_0094,What is this person’s marital status?,Marital,not_comparable,high,"These questions address entirely different concepts: Question A concerns transportation costs to a grocery store (economic/food access topic), while Question B asks about marital status (demographic characteristic). Despite both being federal survey questions, they have no conceptual overlap whatsoever. The subtopic label 'Marital' appears to be a classification error for this comparison pair.",no,usual/habitual (not specified as past time frame),current/present status (not specified),not_comparable,high,"Question A asks about out-of-pocket cost for a single one-way trip to a specific store (a monetary/transportation question), while Question B asks about the person's marital status (a demographic question). They address entirely different concepts, response types, and measurement goals, so they are not comparable.",no,not specified,not specified,True
P_0082,FAPS_0116,How much do you usually pay out of pocket for a single one-way trip to [FILL IN PRIMARY STORE NAME FROM C1],ACS_0095,In the past 12 MONTHS did this person get  a. Married? b. Widowed? c. Divorced?,Marital,not_comparable,high,"These questions address entirely different topics: Question A concerns transportation costs to a food store (economic/access), while Question B concerns marital status changes (demographic). Despite the subtopic label 'Marital' appearing to apply to Question B only, there is no conceptual overlap between the two questions. They measure different constructs with different reference periods and response formats.",no,not specified (habitual: 'usually'),past 12 months,not_comparable,high,"Question A asks about the usual out-of-pocket dollar amount for a one-way trip to a primary store (transportation/expense measure), while Question B asks whether the person experienced a marital status change (married/widowed/divorced) in the past 12 months. They address entirely different constructs, use different response formats (a monetary amount vs. categorical yes/no events), and thus cannot be compared as measures of the same concept.",no,not specified,past 12 months,True
P_0083,FAPS_0116,How much do you usually pay out of pocket for a single one-way trip to [FILL IN PRIMARY STORE NAME FROM C1],ACS_0096,How many times has this person been married?,Marital,not_comparable,high,"These questions address entirely different concepts and populations. Question A asks about transportation costs to a grocery store (a household economic measure related to food access), while Question B asks about marital history (a demographic characteristic). They are from different surveys with different purposes and measure unrelated constructs. The subtopic designation of 'Marital' appears to be an error, as Question A has no marital relevance.",no,usual/habitual (not specified as to time frame),lifetime,not_comparable,high,"The two questions measure entirely different constructs: Question A asks about the typical out-of-pocket dollar cost for a single one-way trip to a store, while Question B asks for the number of times a person has been married. They differ in topic, units (dollar amount vs. count), and reference frame, so they are not comparable.",no,not specified (asks about usual/typical cost),lifetime / ever (to date),True
P_0084,FAPS_0116,How much do you usually pay out of pocket for a single one-way trip to [FILL IN PRIMARY STORE NAME FROM C1],ACS_0097,In what year did this person last get married?,Marital,not_comparable,high,"Question A asks about out-of-pocket transportation costs to a grocery store, while Question B asks about marital history. These are entirely different concepts with no substantive overlap. The SUBTOPIC label of 'Marital' appears to be a classification error, as Question A contains no marital-related content whatsoever.",no,not specified (habitual: 'usually'),lifetime event (last occurrence),not_comparable,high,"The two questions concern entirely different domains: Question A asks about typical out-of-pocket spending for a shopping trip, while Question B asks for the calendar year of the respondent's most recent marriage. They differ in substantive concept and response format (dollar amount vs. year), so they are not comparable.",no,not specified (asks about usual/typical amount),year of last marriage (asks for the calendar year when the person last got married),True
P_0085,FAPS_0304,"On what date did you last receive benefits from SNAP? This program used to be called food stamps and, in your state, it is called [FILL IN STATE SNAP NAME]. It puts money on a SNAP EBT card that you can use to buy food",ACS_0056,"IN THE PAST 12 MONTHS, did you or any member of this household receive benefits from the Food Stamp Program or SNAP (the Supplemental Nutrition Assistance Program)?",SNAP,reference_period_mismatch,high,"Both questions ask about SNAP receipt and use similar terminology/state-specific naming conventions, but differ fundamentally in time frame. Question A asks when benefits were 'last received' without specifying a lookback period, potentially capturing distant historical receipt, while Question B explicitly asks about receipt in the past 12 months. This temporal difference means they could yield substantially different prevalence estimates and are not interchangeable.",no,last receipt of benefits (lifetime/unspecified lookback),past 12 months,related_but_distinct,high,"Question A asks for the exact date the respondent last received SNAP (individual-level, open-ended timeframe), while Question B asks a household-level yes/no about receipt within the past 12 months. They also differ in response format (date vs binary) and unit of analysis (individual vs any household member), so they capture different specific information.",no,not specified (asks for date of last receipt),past 12 months,False
P_0086,FAPS_0305,How many dollars were put on your SNAP EBT card the last time you received SNAP benefits?,ACS_0056,"IN THE PAST 12 MONTHS, did you or any member of this household receive benefits from the Food Stamp Program or SNAP (the Supplemental Nutrition Assistance Program)?",SNAP,response_format_mismatch,high,"Both questions address SNAP receipt, but they measure fundamentally different constructs. Question A asks for a specific dollar amount from the most recent benefit issuance, while Question B asks only whether any SNAP benefits were received in the past year (yes/no). Question A provides continuous data on benefit levels among recipients, whereas Question B provides binary participation status. The reference periods also differ—Question A focuses on the last transaction while Question B covers a full year.",no,last time received SNAP benefits,past 12 months,response_format_mismatch,high,"Question A asks for a dollar amount loaded to an individual's SNAP EBT card at the most recent issuance (numeric, event-based), while Question B is a household-level yes/no about any receipt of SNAP in the past 12 months. They measure related SNAP participation but differ fundamentally in response format (dollar amount vs binary) and also differ in reference framing (event-based vs 12-month period).",no,"the last time you received SNAP benefits (event-based, not a fixed calendar period)",past 12 months,True
P_0087,FAPS_0322,Keep track of the foods and drinks that children age 13 and under in your household got?,ACS_0023,What is Person 1’s age and what is Person 1’s date of birth?,Age,not_comparable,high,"Question A asks respondents to track foods and drinks consumed by children as a behavioral monitoring task, while Question B requests basic demographic/identifying information (age and date of birth). These are fundamentally different question types: one measures dietary behavior/intake, the other collects identifying characteristics. They are not alternative ways of measuring the same construct.",no,not specified (ongoing tracking),not specified (static demographic),related_but_distinct,high,"Question A asks whether the respondent will keep track of foods and drinks given to children age 13 and under (using age as an eligibility criterion and asking about a tracking behavior), whereas Question B requests a person's age and date of birth (demographic facts). They share the general topic of age but ask fundamentally different constructs and elicit different response types.",no,not specified,not specified,False
P_0088,FAPS_0322,Keep track of the foods and drinks that children age 13 and under in your household got?,ACS_0029,What is Person 2’s age and what is Person 2’s date of birth?,Age,not_comparable,high,"Question A asks respondents to track food and drink consumption for children age 13 and under, focusing on dietary behavior data collection. Question B asks for basic demographic information (age and date of birth) for a specific household member. These are fundamentally different concepts: one is about food/beverage tracking behavior while the other is about collecting identifying demographic data. The age reference in Question A is a filter criterion for who to track, not the actual question being asked.",no,not specified,not specified,related_but_distinct,high,"Question A asks respondents to track foods and drinks received by children (a behavioral/consumption data collection prompt using an age cutoff), while Question B asks for a person’s age and date of birth (demographic information). They share the general topic of age only insofar as A uses an age-based eligibility criterion; they ask different substantive things and use different response formats.",no,not specified,current (at time of interview),False
P_0089,FAPS_0322,Keep track of the foods and drinks that children age 13 and under in your household got?,ACS_0035,What is Person 3’s age and what is Person 3’s date of birth?,Age,not_comparable,high,"Question A asks about tracking foods and drinks consumed by children, focusing on dietary behavior/intake data collection. Question B asks for basic demographic identification (age and date of birth). While both relate to 'age' as a subtopic, they serve fundamentally different purposes: one measures consumption patterns for children in a household, the other establishes individual demographic identity. These are distinct concepts despite both involving age information.",no,not specified (implied ongoing/current household),not specified (static demographic fact),related_but_distinct,high,"Question A asks about tracking foods and drinks received by children (a behavioral/food-acquisition measure that only references age group), whereas Question B requests a respondent’s numeric age and date of birth (demographic data). They share the surface element of age but measure entirely different constructs and response types, so they are distinct.",no,not specified,not specified,False
P_0090,FAPS_0322,Keep track of the foods and drinks that children age 13 and under in your household got?,ACS_0072,Where was this person born?,Age,not_comparable,high,"These questions address entirely different concepts and have no meaningful overlap. Question A asks about food/drink tracking for children under 13 (food security/consumption behavior), while Question B asks about birthplace (demographic characteristic). The only superficial connection is that both relate to people, but they measure fundamentally different constructs with no logical relationship.",no,not specified,not specified,not_comparable,high,"Question A asks about tracking foods and drinks received by children (a behavioral/feeding/household food-tracking construct, explicitly limited to children age 13 and under). Question B asks about a person's place of birth (a nativity/demographic construct). The topics, intent, and information collected are entirely different, so they cannot be treated as equivalent.",no,not specified,not specified,True
P_0091,FAPS_0322,Keep track of the foods and drinks that children age 13 and under in your household got?,ACS_0099,Does this person have any of his/her own grandchildren under the age of 18 living in this house or apartment?,Age,not_comparable,high,"These questions address fundamentally different concepts despite both involving age-related household relationships. Question A asks about tracking food/drink consumption for children age 13 and under (a dietary monitoring question), while Question B asks about grandchildren under 18 living in the household (a family structure/relationship question). The age thresholds differ (13 vs 18), the relationship types differ (any children vs grandchildren specifically), and the underlying purposes are entirely distinct.",no,not specified,not specified,related_but_distinct,high,"Question A asks about the act of keeping track of foods and drinks given to children aged 13 and under in the household, whereas Question B asks whether the respondent has any of their own grandchildren under age 18 living in the dwelling. They differ on the measured behavior (tracking food vs presence), the relationship (any children in household vs own grandchildren), and the age thresholds (13 vs 18).",no,not specified,not specified,False
P_0092,FAPS_0322,Keep track of the foods and drinks that children age 13 and under in your household got?,ACS_0100,Is this grandparent currently responsible for most of the basic needs of any grandchildren under the age of 18 who live in this house or apartment?,Age,not_comparable,high,"These questions address fundamentally different concepts. Question A asks about tracking food/drink consumption of children 13 and under (a dietary/nutrition survey), while Question B asks about grandparent caregiving responsibility for grandchildren under 18 (a household relationship/dependency survey). The age ranges differ (≤13 vs <18), the populations differ (all children in household vs specifically grandchildren), and the underlying constructs differ (food access/consumption vs caregiving responsibility).",no,not specified (ongoing tracking),currently,related_but_distinct,high,"The questions address different concepts: A asks about recording foods/drinks received by children (behavior of tracking dietary intake) for children age 13 and under, while B asks whether a grandparent is currently the primary caregiver for grandchildren under 18 (care responsibility). They also differ in target population (children generally vs grandchildren specifically) and age cutoffs (13 vs 18), so they are not equivalent.",no,not specified,current,False
P_0093,FAPS_0323,Record the foods and drinks that children age 13 and under in your household got?,ACS_0023,What is Person 1’s age and what is Person 1’s date of birth?,Age,not_comparable,high,"Question A asks about foods and drinks consumed by children (a dietary behavior/intake measure), while Question B asks for basic demographic identification information (age and date of birth). These are fundamentally different concepts—one measures consumption patterns and the other collects identity/demographic data. The fact that both mention age is superficial; Question A uses age as a filter for eligibility (children 13 and under), while Question B seeks age as a demographic attribute.",no,not specified,not specified,related_but_distinct,high,"Question A asks about foods and drinks received by household children age 13 and under (a behavioral/consumption item targeting a subgroup defined by age). Question B collects demographic data (current age and date of birth) for a specific person. Although both mention age, they address different substantive concepts and purposes, so they are related by topic but distinct in content.",no,not specified,not specified,False
P_0094,FAPS_0323,Record the foods and drinks that children age 13 and under in your household got?,ACS_0029,What is Person 2’s age and what is Person 2’s date of birth?,Age,not_comparable,high,"These questions measure fundamentally different constructs. Question A asks about food/beverage consumption behavior for children in a household, while Question B asks for demographic identification data (age and date of birth). Question A is a dietary/consumption question with an implicit recent time reference, while Question B is a static demographic identifier. They share only the superficial element of 'age' as a subtopic but serve entirely different survey purposes.",no,not specified,not specified,related_but_distinct,high,"Question A asks about foods and drinks received by household children (a behavioral/consumption item that references an age group), while Question B asks for an individual’s age and date of birth (a demographic item). They address different constructs — food receipt versus demographic attributes — though A uses an age cutoff that B would supply. Because B does not capture the food/consumption information, the questions are distinct.",partial,not specified,not specified,False
P_0095,FAPS_0323,Record the foods and drinks that children age 13 and under in your household got?,ACS_0035,What is Person 3’s age and what is Person 3’s date of birth?,Age,not_comparable,high,"These questions measure fundamentally different concepts. Question A asks about food and drink consumption/access for children under 13, while Question B asks for demographic identifiers (age and date of birth) for a specific person. Question A is about food security/dietary behavior, while Question B is basic demographic enumeration. Despite both referencing age in the subtopic, they serve entirely different survey purposes.",no,not specified,not specified,related_but_distinct,high,"Question A asks about foods and drinks obtained by children aged 13 and under (a consumption/food-record variable with an age-based qualifier), while Question B asks for a person’s age and date of birth (a demographic variable). They address different constructs (dietary receipt vs. age/DOB) and are not interchangeable.",no,not specified,not specified,False
P_0096,FAPS_0323,Record the foods and drinks that children age 13 and under in your household got?,ACS_0072,Where was this person born?,Age,not_comparable,high,"These questions address completely different concepts and cannot be compared for equivalence. Question A asks about food and beverage consumption by children in a household (a dietary/food security measure), while Question B asks about place of birth (a demographic characteristic). The only superficial connection is that both could involve information about children/persons, but they measure entirely different domains with no semantic overlap.",no,not specified,not specified,not_comparable,high,"Question A asks for a record of foods and drinks obtained for children (a dietary/household food inventory for children age 13 and under), whereas Question B asks about a person's place of birth (nativity). They measure entirely different constructs, target different subjects (children in household vs an individual 'this person'), and would use different response formats, so they are not comparable.",no,not specified,not specified,True
P_0097,FAPS_0323,Record the foods and drinks that children age 13 and under in your household got?,ACS_0099,Does this person have any of his/her own grandchildren under the age of 18 living in this house or apartment?,Age,not_comparable,high,"These questions address fundamentally different concepts despite both involving age parameters. Question A asks about foods/drinks consumed by children under 13 in the household (dietary behavior data), while Question B asks about the presence of grandchildren under 18 as a relationship/living situation question. They target different populations, collect different data types, and serve different analytical purposes.",no,not specified,not specified,related_but_distinct,high,"The two questions address different substantive concepts: Question A asks about foods and drinks obtained for children (consumption/food-record data) while Question B asks whether a person has grandchildren under 18 living in the household (relationship/residence). They also differ in the age cutoff (13 and under vs under 18) and in unit of analysis (children in household generally vs respondent's grandchildren), so they are not equivalent.",no,not specified,not specified,False
P_0098,FAPS_0323,Record the foods and drinks that children age 13 and under in your household got?,ACS_0100,Is this grandparent currently responsible for most of the basic needs of any grandchildren under the age of 18 who live in this house or apartment?,Age,not_comparable,high,"These questions address fundamentally different concepts. Question A asks about food and beverage consumption records for children under 13, focusing on dietary intake data collection. Question B asks whether a grandparent is responsible for meeting basic needs of grandchildren under 18, focusing on caregiving responsibility. While both mention children/age groups, they measure entirely different constructs (food consumption vs. caregiving responsibility) and serve different survey purposes.",no,not specified,currently,related_but_distinct,high,"Question A asks about foods and drinks received by children age 13 and under (a dietary/food acquisition measure) with no stated timeframe, while Question B asks whether a grandparent is currently responsible for most basic needs of grandchildren under 18 (a caregiving/household responsibility question). They differ in construct (food receipt vs caregiver responsibility), population (children generally age ≤13 vs grandchildren specifically <18), and the age cutoffs, so they are related by topic (children/age) but ask distinct things.",no,not specified,current/present,False
P_0099,FAPS_0341,"[Do you/Does your household] shop for food depending on when you receive income or food assistance benefits (WIC, [Insert State SNAP Name], etc.)?",ACS_0056,"IN THE PAST 12 MONTHS, did you or any member of this household receive benefits from the Food Stamp Program or SNAP (the Supplemental Nutrition Assistance Program)?",SNAP,related_but_distinct,high,"While both questions address SNAP/food assistance, they measure fundamentally different constructs. Question A asks about shopping *behavior* conditional on benefit receipt timing (a behavioral/budgeting pattern), whereas Question B asks about *receipt* of benefits themselves (a eligibility/participation measure). Question A could apply to non-recipients who time purchases around paychecks, while Question B captures actual program participation. These serve different analytical purposes despite both relating to SNAP.",no,not specified (implies ongoing/current behavior),past 12 months,related_but_distinct,high,"Question A asks about a household's shopping behavior tied to the timing of receiving income or food-assistance benefits (and mentions multiple programs), whereas Question B simply asks whether anyone received SNAP benefits in the past 12 months. The concepts differ (behavioral dependence on benefit timing versus receipt of a specific program) and Question B is time-bounded while A has no reference period, so they are related but not equivalent.",no,not specified,past 12 months,True
P_0100,FAPS_0342,Did [you/your household] receive any benefits from [State SNAP name] during the [insert number of day fill] day Food Log period?,ACS_0056,"IN THE PAST 12 MONTHS, did you or any member of this household receive benefits from the Food Stamp Program or SNAP (the Supplemental Nutrition Assistance Program)?",SNAP,reference_period_mismatch,high,"Both questions ask the identical core concept—whether the respondent/household received SNAP benefits—with identical response format (yes/no). However, they differ fundamentally in reference periods: Question A asks about a specific short Food Log period (days), while Question B asks about the entire past 12 months. This temporal difference means they measure different phenomena and would yield different prevalence estimates.",no,Food Log period (typically 7 days or other specified short interval),past 12 months,reference_period_mismatch,high,"Both questions ask whether the household/person received SNAP benefits, so they share the same core concept. However Question A is limited to a specific short Food Log period (a defined number of days) while Question B asks about any receipt in the past 12 months, creating a clear reference-period mismatch that prevents direct equivalence. Because receipt over 12 months does not reliably indicate receipt during the brief Food Log window (and vice versa), the items are not interchangeable.",partial,the [insert number of day fill] day Food Log period,the past 12 months,True
P_0101,FAPS_0343,[If Yes to D2] On what date did [you/your household] last receive benefits from [State SNAP name]?,ACS_0056,"IN THE PAST 12 MONTHS, did you or any member of this household receive benefits from the Food Stamp Program or SNAP (the Supplemental Nutrition Assistance Program)?",SNAP,reference_period_mismatch,high,"Both questions ask about SNAP receipt, but they measure fundamentally different things: Question A asks for the specific date of the most recent benefit receipt (a point-in-time measure), while Question B asks whether the household received any benefits during the past 12 months (a period prevalence measure). Question A provides no temporal constraint on how far back the 'last' receipt occurred, making it impossible to determine if it falls within a comparable timeframe to Question B's 12-month window.",partial,"last receipt of benefits (point-in-time, unspecified lookback period)",past 12 months,reference_period_mismatch,high,"Question A requests the specific date of last SNAP receipt with no explicit reference period, while Question B asks a yes/no about receipt within the past 12 months. They therefore differ in the temporal window being measured; additionally, A elicits a date (more granular) whereas B is a binary measure. These differences make them non-equivalent for direct replacement.",no,not specified (asks for date of last receipt),past 12 months,True
P_0102,FAPS_0344,If Yes to D2] How much did [you/your household] receive from [State SNAP name] during the [insert number of day fill] day Food Log period?,ACS_0056,"IN THE PAST 12 MONTHS, did you or any member of this household receive benefits from the Food Stamp Program or SNAP (the Supplemental Nutrition Assistance Program)?",SNAP,response_format_mismatch,high,"Both questions ask about SNAP receipt, but they differ fundamentally in what they measure: Question A asks for a dollar amount received during a short food log period (typically 7 days), while Question B asks a yes/no question about whether any SNAP benefits were received in the past 12 months. Additionally, the reference periods differ substantially (short-term specific days vs. 12-month period), making these questions complementary rather than equivalent.",no,[insert number of day fill] day Food Log period (typically 7 days),past 12 months,response_format_mismatch,high,"Both questions concern SNAP/food stamp benefits, but Question A asks for an amount received during a specific short Food Log period (dollar/quantity), while Question B asks a yes/no about any household receipt in the past 12 months. Thus they differ primarily in response format (numeric amount vs binary) and also differ in reference period length.",no,the [insert number of day fill] day Food Log period (specified short reporting period),the past 12 months,True
P_0103,FAPS_0372,Do you think that receiving a single daily reminder was the right number of reminders?,ACS_0094,What is this person’s marital status?,Marital,not_comparable,high,"These questions measure entirely different concepts despite being paired under 'Marital' as a subtopic. Question A asks about satisfaction with reminder frequency for a specific intervention (FoodAPS program), while Question B asks about current marital status (ACS). There is no conceptual overlap between satisfaction with program reminders and marital status classification.",no,not specified,not specified,not_comparable,high,"Question A asks about the appropriateness of receiving a single daily reminder (notifications/satisfaction about reminder frequency). Question B asks about a person's marital status (demographic characteristic). They measure entirely different constructs and have no overlap in meaning, reference period, or response format.",no,not specified,not specified,True
P_0104,FAPS_0372,Do you think that receiving a single daily reminder was the right number of reminders?,ACS_0095,In the past 12 MONTHS did this person get  a. Married? b. Widowed? c. Divorced?,Marital,not_comparable,high,"These questions address completely different concepts and populations. Question A asks about the appropriateness of reminder frequency related to a specific intervention (FoodAPS program), while Question B asks about marital status changes for any individual. Question A is about a program experience/evaluation, while Question B is demographic data collection. They share no meaningful conceptual overlap despite both potentially appearing in household surveys.",no,not specified (appears to be immediate/single event),past 12 months,not_comparable,high,"Question A asks about satisfaction with the number of daily reminders (a usability/satisfaction question), while Question B asks about marital events/status over the past 12 months. They address entirely different constructs (reminder feedback vs. marital history), so they are not comparable.",no,not specified,past 12 months,True
P_0105,FAPS_0372,Do you think that receiving a single daily reminder was the right number of reminders?,ACS_0096,How many times has this person been married?,Marital,not_comparable,high,"Question A asks about satisfaction with the number of reminders received in a specific program context (FoodAPS), while Question B asks about a demographic fact regarding lifetime marital history. Despite the assigned subtopic of 'Marital,' these questions address entirely different concepts: one measures user satisfaction with notification frequency in a food assistance program, the other measures a basic demographic characteristic. They share no meaningful conceptual overlap.",no,not specified,lifetime,not_comparable,high,"Question A asks about the perceived appropriateness of the number of daily reminders (a notification/preferences construct), while Question B asks for the number of times a person has been married (marital history). They address entirely different concepts and response domains, so they are not comparable for consolidation or harmonization.",no,not specified,lifetime,True
P_0106,FAPS_0372,Do you think that receiving a single daily reminder was the right number of reminders?,ACS_0097,In what year did this person last get married?,Marital,not_comparable,high,"These questions address fundamentally different concepts despite both being federal surveys. Question A asks about respondent satisfaction with the frequency of reminders received in what appears to be a food assistance program intervention study (FoodAPS), while Question B asks for a factual demographic detail about marital history (year of last marriage). They share no common construct or measurement intent.",no,not specified,not specified,not_comparable,high,"Question A asks about a respondent's opinion on the number of daily reminders (a survey implementation/notification question), while Question B asks for the calendar year of a person's most recent marriage (marital history). They measure entirely different constructs, so they are not comparable.",no,not specified,year of last marriage,True
P_0107,FAPS_0458,How much did you /[Fill name] pay with the SNAP EBT card?,ACS_0056,"IN THE PAST 12 MONTHS, did you or any member of this household receive benefits from the Food Stamp Program or SNAP (the Supplemental Nutrition Assistance Program)?",SNAP,related_but_distinct,high,"Question A asks for a specific dollar amount paid with SNAP EBT card (behavioral/transactional data), while Question B asks whether the household received any SNAP benefits at all (yes/no eligibility/receipt data). These are fundamentally different questions: one measures spending amount, the other measures program participation. Question A also lacks a specified time period, making temporal comparison difficult.",no,not specified,past 12 months,related_but_distinct,high,"Question A asks for a monetary amount paid with a SNAP EBT card (usage/spending), while Question B asks a yes/no about whether anyone in the household received SNAP benefits in the past 12 months. They differ in measurement type (dollar amount vs binary receipt), unit of analysis (individual cardholder vs any household member) and B explicitly includes a 12-month reference period that A does not specify.",no,not specified,past 12 months,True
